"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"110",10702,"1990-01-25",0.0106363,0.0199334,0.0623509,96,"sim"
"111",10703,"1990-01-25",0.0005319,0.0033935,0.0112597,91,"sim"
"112",10704,"1990-01-25",0.1174876,0.1615956,0.2715702,97,"sim"
"113",10705,"1990-01-25",0.0024246,0.0082711,0.024093,92,"sim"
"114",10706,"1990-01-25",0.0271832,0.0470427,0.1412778,95,"sim"
"115",10707,"1990-01-25",0.0123465,0.0257884,0.0771164,94,"sim"
"116",10708,"1990-01-25",0.0322685,0.0531097,0.1154024,97,"sim"
"117",10709,"1990-01-25",0.0031597,0.0106271,0.0299937,92,"sim"
"118",10710,"1990-01-25",0.1651883,0.2357151,0.5096353,99,"sim"
"119",10711,"1990-01-25",0.011368,0.024336,0.0691512,93,"sim"
"120",10712,"1990-01-25",0.011368,0.024336,0.0691512,93,"sim"
"121",10713,"1990-01-25",0.011368,0.024336,0.0691512,93,"sim"
"122",10714,"1990-01-25",0.022936,0.0449706,0.0934765,91,"sim"
"123",10715,"1990-01-25",0.022936,0.0449706,0.0934765,91,"sim"
"124",10716,"1990-01-25",0.1627639,0.2476079,0.5107602,93,"sim"
"125",10717,"1990-01-25",0.1627639,0.2476079,0.5107602,93,"sim"
"126",10718,"1990-01-25",0.0211775,0.0489946,0.159243,90,"sim"
"127",10720,"1990-01-25",0.0507365,0.0894363,0.2359012,91,"sim"
"128",10722,"1990-01-25",0.28032,0.3869391,0.6316411,93,"sim"
"129",10724,"1990-01-25",0.0917585,0.1423998,0.3866209,95,"sim"
"130",10725,"1990-01-25",0.0369878,0.0695512,0.2277441,93,"sim"
"131",10726,"1990-01-25",0.1054812,0.1680017,0.3632533,96,"sim"
"132",10727,"1990-01-25",0.0199485,0.0473492,0.2265944,91,"sim"
"133",10728,"1990-01-25",0.2076988,0.2928039,0.6511611,98,"sim"
"134",10729,"1990-01-25",0.0323201,0.0619421,0.2651539,92,"sim"
"135",1104,"1945-10-25",0.0176728,0.0358284,0.1099298,92,"sim"
"136",1116,"1945-10-25",0.221474,0.3712451,0.7751126,92,"sim"
"137",1118,"1945-10-25",0.221474,0.3712451,0.7751126,92,"sim"
"138",1119,"1945-10-25",0.221474,0.3712451,0.7751126,92,"sim"
"139",1120,"1945-10-25",0.221474,0.3712451,0.7751126,92,"sim"
"140",1122,"1945-10-25",0.0657508,0.1133206,0.2840085,92,"sim"
"141",1128,"1945-10-25",0.0657508,0.1133206,0.2840085,92,"sim"
"142",11701,"1993-12-08",0.0261649,0.0416664,0.1047695,97,"sim"
"143",11702,"1993-12-08",0.1500916,0.20945,0.3180645,100,"sim"
"144",11703,"1993-12-08",0.0068767,0.0161113,0.0658713,95,"sim"
"145",11704,"1993-12-08",0.3423291,0.4182973,0.6237846,100,"sim"
"146",11705,"1993-12-08",0.0185086,0.0319742,0.0853643,96,"sim"
"147",11706,"1993-12-08",0.4795127,0.6827167,1.0180653,95,"sim"
"148",11707,"1993-12-08",0.3436229,0.5085116,0.821732,94,"sim"
"149",11708,"1993-12-08",0.9283682,1.244432,1.9159822,96,"sim"
"150",11709,"1993-12-08",0.0337233,0.0630559,0.2669522,92,"sim"
"151",11710,"1993-12-08",1.6069578,2.0873102,2.7845561,97,"sim"
"152",11711,"1993-12-08",0.2222593,0.3458341,0.6976336,93,"sim"
"153",11712,"1993-12-08",0.0031664,0.0108212,0.040355,93,"sim"
"154",11713,"1993-12-08",0.0010192,0.0064451,0.035092,92,"sim"
"155",11714,"1993-12-08",0.0127281,0.0258623,0.1345082,95,"sim"
"156",11715,"1993-12-08",0.000527,0.0058474,0.0270832,90,"sim"
"157",11716,"1993-12-08",0.0302161,0.0509201,0.1393356,97,"sim"
"158",11717,"1993-12-08",0.0010102,0.0062854,0.0268545,91,"sim"
"159",11718,"1993-12-08",0.2973629,0.4053627,0.6247707,99,"sim"
"160",11719,"1993-12-08",0.2257231,0.3037831,0.4684007,97,"sim"
"161",11720,"1993-12-08",0.4956877,0.6556915,0.9567581,100,"sim"
"162",11721,"1993-12-08",0.156198,0.2235981,0.4150113,95,"sim"
"163",11722,"1993-12-08",0.7637564,0.9774283,1.6486639,102,"sim"
"164",11723,"1993-12-08",0.1845357,0.2698848,0.4613721,96,"sim"
"165",11724,"1993-12-08",0.2852518,0.418676,0.6777089,96,"sim"
"166",11725,"1993-12-08",0.1924558,0.2866151,0.5651041,95,"sim"
"167",11726,"1993-12-08",0.6358384,0.8430299,1.2851198,96,"sim"
"168",11727,"1993-12-08",0.1079809,0.1775612,0.3568761,93,"sim"
"169",11728,"1993-12-08",1.0402197,1.3024182,1.7900558,98,"sim"
"170",11729,"1993-12-08",0.152082,0.2344067,0.4865279,94,"sim"
"171",11801,"1994-01-28",0.5361538,0.669726,0.9482708,94,"sim"
"172",11802,"1994-01-28",1.3095245,1.6015655,2.3842935,97,"sim"
"173",11803,"1994-01-28",0.2085424,0.2875549,0.4911801,96,"sim"
"174",11804,"1994-01-28",1.7582116,2.1056499,2.8964011,98,"sim"
"175",11805,"1994-01-28",0.3870868,0.5117231,0.8003961,94,"sim"
"176",11806,"1994-01-28",1.538795,2.0107071,2.923162,98,"sim"
"177",11807,"1994-01-28",0.935057,1.1896408,2.0549247,99,"sim"
"178",11808,"1994-01-28",2.5359935,3.0351386,4.327609,98,"sim"
"179",11809,"1994-01-28",0.360824,0.4993719,0.7581084,97,"sim"
"180",11810,"1994-01-28",3.9428483,4.7399156,6.7432408,100,"sim"
"181",11811,"1994-01-28",0.6878432,0.8962599,1.381431,99,"sim"
"182",11812,"1994-01-28",1.0362826,1.4458884,2.5185918,95,"sim"
"183",11813,"1994-01-28",0.3032787,0.4480278,0.7558953,94,"sim"
"184",11814,"1994-01-28",1.9097577,2.5722118,3.8610258,95,"sim"
"185",11815,"1994-01-28",0.0303069,0.0555674,0.1969619,92,"sim"
"186",11816,"1994-01-28",2.4011562,3.0656891,4.4783824,97,"sim"
"187",11817,"1994-01-28",0.1389715,0.216539,0.466895,93,"sim"
"188",11818,"1994-01-28",1.1267712,1.4219311,2.1580831,97,"sim"
"189",11819,"1994-01-28",0.8154542,1.0704858,1.5162627,96,"sim"
"190",11820,"1994-01-28",1.5382467,1.903385,2.9002732,99,"sim"
"191",11821,"1994-01-28",0.3641911,0.4941137,0.7333392,96,"sim"
"192",11822,"1994-01-28",2.2364583,2.8551148,3.9034658,101,"sim"
"193",11823,"1994-01-28",0.5839362,0.8091429,1.2084874,97,"sim"
"194",11824,"1994-01-28",1.7240056,2.1310245,3.1399071,96,"sim"
"195",11825,"1994-01-28",1.2052942,1.5531146,2.4157643,95,"sim"
"196",11826,"1994-01-28",2.1853033,2.6653939,3.7329645,98,"sim"
"197",11827,"1994-01-28",0.3011074,0.4155506,0.6890283,95,"sim"
"198",11828,"1994-01-28",2.7539888,3.2537341,4.4426008,100,"sim"
"199",11829,"1994-01-28",0.7752536,0.9969302,1.4476051,94,"sim"
"200",12501,"1998-01-04",0.0293977,0.0509936,0.1507559,96,"sim"
"201",12502,"1998-01-04",0.0955515,0.1329926,0.2898318,99,"sim"
"202",12503,"1998-01-04",0.014425,0.0266862,0.0694252,94,"sim"
"203",12504,"1998-01-04",0.2023638,0.2892523,0.5044777,101,"sim"
"204",12505,"1998-01-04",0.0274693,0.0468582,0.1625794,95,"sim"
"205",12510,"1998-01-04",0.0274693,0.0468582,0.1625794,95,"sim"
"206",12512,"1998-01-04",0.389464,0.5231033,0.7899328,100,"sim"
"207",12513,"1998-01-04",0.295063,0.4111386,0.6612892,99,"sim"
"208",12514,"1998-01-04",0.7770026,0.9491709,1.4121692,102,"sim"
"209",12515,"1998-01-04",0.2616486,0.3508452,0.5842928,97,"sim"
"210",12516,"1998-01-04",1.0724874,1.3350464,1.7681855,104,"sim"
"211",12517,"1998-01-04",0.2977579,0.4025541,0.6719932,98,"sim"
