N,cal_region2,log_ratio_total_impact,total_impact_CLIMADA,total_impact_EMDAT_scaled,v_half
73,NA1,2.6149730901489523,1849840175832.3328,135352357369.4079,29.300000000000054
73,NA1,2.604650101917239,1830842522448.154,135352357369.4079,29.400000000000052
73,NA1,2.5942171572437798,1811840738342.6704,135352357369.4079,29.500000000000053
73,NA1,2.5836950744570855,1792876347511.3518,135352357369.4079,29.60000000000005
73,NA1,2.573103354243778,1773986915243.759,135352357369.4079,29.700000000000053
73,NA1,2.5624600828203206,1755206013411.216,135352357369.4079,29.800000000000054
73,NA1,2.5517818688414535,1736563260817.1875,135352357369.4079,29.90000000000006
73,NA1,2.541083811318122,1718084427211.6277,135352357369.4079,30.000000000000053
73,NA1,2.5303794953381025,1699791589449.5999,135352357369.4079,30.100000000000065
73,NA1,2.5196810120859316,1681703328603.3843,135352357369.4079,30.20000000000007
73,NA1,2.5089989995259647,1663834957513.4443,135352357369.4079,30.30000000000007
73,NA1,2.4983427001199474,1646198769187.5615,135352357369.4079,30.400000000000066
73,NA1,2.4877200320725317,1628804297538.7778,135352357369.4079,30.50000000000007
73,NA1,2.4771376708088115,1611658583113.3044,135352357369.4079,30.600000000000072
73,NA1,2.466601137662373,1594766437635.1038,135352357369.4079,30.70000000000007
73,NA1,2.456114893068153,1578130702334.4392,135352357369.4079,30.80000000000007
73,NA1,2.4456824318920933,1561752496096.8787,135352357369.4079,30.900000000000077
73,NA1,2.435306378872959,1545631450442.5435,135352357369.4079,31.000000000000075
73,NA1,2.424988582487822,1529765929208.5286,135352357369.4079,31.100000000000076
73,NA1,2.414730205871933,1514153231554.5051,135352357369.4079,31.200000000000077
73,NA1,2.4045318137190157,1498789777542.8477,135352357369.4079,31.300000000000075
73,NA1,2.394393454355149,1483671276065.4583,135352357369.4079,31.400000000000077
73,NA1,2.3843147364158424,1468792875307.7932,135352357369.4079,31.500000000000075
73,NA1,2.374294899761163,1454149296266.9,135352357369.4079,31.60000000000009
73,NA1,2.364332880438259,1439734950085.3384,135352357369.4079,31.700000000000085
73,NA1,2.3544273696460247,1425544040138.2659,135352357369.4079,31.80000000000009
73,NA1,2.344576866774973,1411570649927.393,135352357369.4079,31.90000000000009
73,NA1,2.334779726689331,1397808817903.4382,135352357369.4079,32.000000000000085
73,NA1,2.325034201490526,1384252600367.1877,135352357369.4079,32.100000000000094
73,NA1,2.315338477054513,1370896123596.7366,135352357369.4079,32.20000000000009
73,NA1,2.305690704672355,1357733626321.9465,135352357369.4079,32.3000000000001
73,NA1,2.2960890281468616,1344759493622.897,135352357369.4079,32.40000000000009
73,NA1,2.286531606709981,1331968283271.9722,135352357369.4079,32.5000000000001
73,NA1,2.2770166341285174,1319354745473.8442,135352357369.4079,32.600000000000094
73,NA1,2.2675423543610713,1306913836886.881,135352357369.4079,32.7000000000001
73,NA1,2.258107074118921,1294640729736.6924,135352357369.4079,32.8000000000001
73,NA1,2.248709172668935,1282530816759.2388,135352357369.4079,32.900000000000105
73,NA1,2.2393471091989965,1270579712639.2087,135352357369.4079,33.0000000000001
73,NA1,2.230019428046589,1258783252540.0103,135352357369.4079,33.10000000000011
73,NA1,2.2207247620702093,1247137488255.989,135352357369.4079,33.2000000000001
73,NA1,2.2114618344215082,1235638682455.4758,135352357369.4079,33.30000000000011
73,NA1,2.20222945895436,1224283301425.8062,135352357369.4079,33.400000000000105
73,NA1,2.1930265394855177,1213068006678.2412,135352357369.4079,33.500000000000114
73,NA1,2.1838520681007907,1201989645722.249,135352357369.4079,33.60000000000011
73,NA1,2.1747051226805776,1191045242274.3193,135352357369.4079,33.70000000000012
73,NA1,2.1655848637998276,1180231986126.7886,135352357369.4079,33.80000000000011
