N,RMSF,cal_region2,total_impact_CLIMADA,total_impact_EMDAT_scaled,v_half
73,30.501227661061392,NA1,1069274262664.6113,135352357369.4079,34.90000000000013
73,30.19923157706774,NA1,1059862524336.6803,135352357369.4079,35.00000000000013
73,29.901323422133746,NA1,1050556128255.5696,135352357369.4079,35.100000000000136
73,29.607446638002276,NA1,1041353629027.3071,135352357369.4079,35.20000000000013
73,29.317546130551662,NA1,1032253626891.9691,135352357369.4079,35.30000000000014
73,29.031568164894246,NA1,1023254763311.9081,135352357369.4079,35.400000000000134
73,28.74946026704426,NA1,1014355716976.334,135352357369.4079,35.500000000000135
73,28.471171132198897,NA1,1005555200198.5679,135352357369.4079,35.600000000000136
73,28.1966505395854,NA1,996851955681.4315,135352357369.4079,35.700000000000145
73,27.925849273759933,NA1,988244753625.9867,135352357369.4079,35.80000000000014
73,27.65871905218376,NA1,979732389158.814,135352357369.4079,35.90000000000015
73,27.395212458860225,NA1,971313680053.44,135352357369.4079,36.000000000000135
73,27.13528288377864,NA1,962987464722.0521,135352357369.4079,36.10000000000015
73,26.878884467888902,NA1,954752600454.5077,135352357369.4079,36.200000000000145
73,26.625972053309653,NA1,946607961882.5042,135352357369.4079,36.300000000000146
73,26.376501138464707,NA1,938552439647.9111,135352357369.4079,36.40000000000015
73,26.130427837834166,NA1,930584939255.3239,135352357369.4079,36.500000000000156
73,25.88770884600818,NA1,922704380090.1388,135352357369.4079,36.60000000000015
73,25.648301405731434,NA1,914909694584.6044,135352357369.4079,36.70000000000016
73,25.412163279635294,NA1,907199827515.5632,135352357369.4079,36.800000000000146
73,25.179252725360083,NA1,899573735418.7521,135352357369.4079,36.900000000000155
73,24.949528473783058,NA1,892030386105.7567,135352357369.4079,37.000000000000156
73,24.722949710076982,NA1,884568758270.8064,135352357369.4079,37.10000000000017
73,24.49947605733965,NA1,877187841175.7555,135352357369.4079,37.20000000000016
73,24.279067562546004,NA1,869886634402.5864,135352357369.4079,37.300000000000175
73,24.061684684591032,NA1,862664147663.8346,135352357369.4079,37.400000000000155
73,23.847288284203838,NA1,855519400662.2109,135352357369.4079,37.50000000000017
73,23.635839615529655,NA1,848451422991.6522,135352357369.4079,37.60000000000017
73,23.427300319189037,NA1,841459254072.7866,135352357369.4079,37.70000000000017
73,23.221632416639313,NA1,834541943116.6357,135352357369.4079,37.800000000000175
73,23.01879830567485,NA1,827698549111.0199,135352357369.4079,37.90000000000017
73,22.81876075691821,NA1,820928140824.8578,135352357369.4079,38.00000000000017
73,22.621482911164208,NA1,814229796826.0675,135352357369.4079,38.10000000000018
73,22.42692827745344,NA1,807602605509.4186,135352357369.4079,38.20000000000017
73,22.23506073176094,NA1,801045665131.0872,135352357369.4079,38.30000000000018
73,22.045844516198134,NA1,794558083847.1967,135352357369.4079,38.40000000000017
73,21.85924423863501,NA1,788138979753.978,135352357369.4079,38.500000000000185
73,21.67522487265973,NA1,781787480927.583,135352357369.4079,38.60000000000018
