,country,region_id,cal_region2,year,name,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,ratio,log_ratio,unique_ID,Surge,Rain,Flood,Slide
39,PHL,608,WP2,2011,Topical storm Juaning (Nock-ten),2011-0272,2011205N12130,63258000,2014,80315874.36,10447387.7,25.7,84.7,1,0.130078739,-2.039615324,2011-0272PHL,FALSE,FALSE,TRUE,TRUE
40,PHL,608,WP2,1987,Phillis (Trining),1987-0240,1987343N05154,8500000,2014,72869420.88,63951497.35,25.7,84.7,1,0.877617752,-0.130544142,1987-0240PHL,FALSE,FALSE,FALSE,FALSE
41,PHL,608,WP2,2004,Mindulle (Igme),2004-0309,2004174N14146,19667000,2014,61254763.09,36505.4785,25.7,84.7,1,0.000595961,-7.425334545,2004-0309PHL,FALSE,FALSE,TRUE,FALSE
42,PHL,608,WP2,1981,Daling,1981-0134,1981176N08150,7609000,2014,60746740.34,460068.7801,25.7,84.7,1,0.007573555,-4.883092703,1981-0134PHL,FALSE,FALSE,FALSE,FALSE
43,PHL,608,WP2,2000,Xangsane (Reming),2000-0706,2000299N08139,17000000,2014,59708228.94,13974236349,25.7,84.7,1,234.0420508,5.455500803,2000-0706PHL,FALSE,FALSE,FALSE,FALSE
44,PHL,608,WP2,2008,Tropical storm Nuri (Karen),2008-0369,2008229N13147,33870000,2014,55333794.03,1760856.451,25.7,84.7,1,0.031822442,-3.447583515,2008-0369PHL,FALSE,FALSE,FALSE,FALSE
45,PHL,608,WP2,1981,Clara,1981-0083,1981256N10150,6700000,2014,53489704.34,1801384.38,25.7,84.7,1,0.033677217,-3.390933724,1981-0083PHL,FALSE,FALSE,FALSE,FALSE
46,PHL,608,WP2,2009,Emong (Chanom),2009-0165,2009123N10111,30342000,2014,51295833,423788486.2,25.7,84.7,1,8.261655215,2.111624957,2009-0165PHL,FALSE,FALSE,TRUE,TRUE
47,PHL,608,WP2,1982,Faye,1982-0093,1982227N09140,6500000,2014,49805902.91,316405731,25.7,84.7,1,6.352775726,1.84889184,1982-0093PHL,FALSE,FALSE,FALSE,FALSE
48,PHL,608,WP2,2011,Tropical storm Washi (Sendong),2011-0519,2011346N03156,38082000,2014,48351024.81,5635267.218,25.7,84.7,1,0.116549075,-2.14944285,2011-0519PHL,FALSE,FALSE,TRUE,TRUE
49,PHL,608,WP2,1987,Cart (Ising),1987-0239,1987219N08155,5600000,2014,48008089.05,118009317.8,25.7,84.7,1,2.458113207,0.899394067,1987-0239PHL,FALSE,FALSE,FALSE,FALSE
50,PHL,608,WP2,2011,Mina (Nanmadol),2011-0341,2011233N12129,34452000,2014,43742174.96,6257099.384,25.7,84.7,1,0.143044999,-1.944596018,2011-0341PHL,FALSE,FALSE,FALSE,FALSE
51,PHL,608,WP2,1986,Narge (Aning),1986-0153,1986343N05176,4000000,2014,38111864.49,2633763193,25.7,84.7,1,69.10612295,4.235643337,1986-0153PHL,FALSE,FALSE,FALSE,FALSE
52,PHL,608,WP2,1982,Emang,1982-0174,1982190N09148,4500000,2014,34481009.7,3504334.401,25.7,84.7,1,0.101630852,-2.286408126,1982-0174PHL,FALSE,FALSE,FALSE,FALSE
53,PHL,608,WP2,2013,Tropical storm Utor (Labuyo),2013-0272,2013220N12137,32431000,2014,33951928.59,176258123.8,25.7,84.7,1,5.191402406,1.647003874,2013-0272PHL,FALSE,FALSE,FALSE,FALSE
54,PHL,608,WP2,2008,Neoguri (Ambo),2008-0155,2008104N08128,16000000,2014,26139377.16,23591.02721,25.7,84.7,1,0.000902509,-7.010331723,2008-0155PHL,FALSE,FALSE,FALSE,FALSE
55,PHL,608,WP2,2009,Tropical storm Mirinae (Santi),2009-0478,2009299N12153,15194000,2014,25686800.03,5644022521,25.7,84.7,1,219.7246257,5.392375061,2009-0478PHL,FALSE,FALSE,FALSE,TRUE
56,PHL,608,WP2,2006,Cimaron (Paeng),2006-0600,2006298N12143,9077000,2014,21137047.49,581034278.7,25.7,84.7,1,27.48890445,3.313782449,2006-0600PHL,FALSE,FALSE,TRUE,TRUE
57,PHL,608,WP2,2014,Kalmaegi (Luis),2014-0390,2014254N10142,19183000,2014,19183000,37282416.7,25.7,84.7,1,1.943513356,0.664497343,2014-0390PHL,FALSE,FALSE,TRUE,FALSE
58,PHL,608,WP2,2004,Muifa (Unding),2004-0580,2004319N10134,6000000,2014,18687577.08,137785617.6,25.7,84.7,1,7.373113005,1.997840006,2004-0580PHL,FALSE,FALSE,FALSE,TRUE
59,PHL,608,WP2,2014,Tropical storm Jangmi (Seniang),2014-0497,2014362N07130,17688000,2014,17688000,2636518.085,25.7,84.7,1,0.14905688,-1.903427304,2014-0497PHL,FALSE,FALSE,FALSE,TRUE
60,PHL,608,WP2,2003,Linfa (Chedeng),2003-0258,2003144N16119,4000000,2014,13566469.09,229573.4302,25.7,84.7,1,0.016922121,-4.079133584,2003-0258PHL,FALSE,FALSE,TRUE,TRUE
61,PHL,608,WP2,2010,Conson (Basyang),2010-0308,2010191N12138,8675000,2014,12369162.52,4053622357,25.7,84.7,1,327.7200336,5.792159688,2010-0308PHL,FALSE,FALSE,TRUE,FALSE
62,PHL,608,WP2,2008,Hagupit (Nina),2008-0426,2008262N16142,7420000,2014,12122136.16,60949.64554,25.7,84.7,1,0.005027962,-5.292740455,2008-0426PHL,FALSE,FALSE,FALSE,TRUE
63,PHL,608,WP2,1993,Kyle,1993-0088,1993322N09137,2000000,2014,10468808.25,371405.2987,25.7,84.7,1,0.035477324,-3.338861557,1993-0088PHL,FALSE,FALSE,FALSE,FALSE
64,PHL,608,WP2,2007,Mitag (Mina),2007-0576,2007324N10140,5000000,2014,9526803.663,8742115.605,25.7,84.7,1,0.917633649,-0.085957044,2007-0576PHL,FALSE,FALSE,TRUE,TRUE
65,PHL,608,WP2,2006,Chanchu (Caloy),2006-0251,2006128N09138,3328000,2014,7749707.397,227707267.9,25.7,84.7,1,29.38269231,3.380405804,2006-0251PHL,FALSE,FALSE,TRUE,TRUE
66,PHL,608,WP2,1988,Tess (Welpring),1988-0557,1988306N15130,940000,2014,7061009.416,11032.28157,25.7,84.7,1,0.001562423,-6.461517634,1988-0557PHL,FALSE,FALSE,FALSE,FALSE
67,PHL,608,WP2,2007,Kabayan (Peipah),2007-0560,2007306N18133,2971000,2014,5660826.737,78225079.99,25.7,84.7,1,13.81866707,2.626020364,2007-0560PHL,FALSE,FALSE,FALSE,FALSE
68,PHL,608,WP2,2013,Krosa (Vinta),2013-0437,2013301N13142,4729000,2014,4950777.661,36433365.06,25.7,84.7,1,7.359119628,1.99594031,2013-0437PHL,FALSE,FALSE,TRUE,FALSE
69,PHL,608,WP2,2016,Ferdie (Meranti),2016-0342,2016253N13144,4913000,2014,4585811.217,5851.789539,25.7,84.7,1,0.001276064,-6.663974779,2016-0342PHL,FALSE,FALSE,FALSE,FALSE
70,PHL,608,WP2,2012,Kai-Tak,2012-0294,2012225N16133,3000000,2014,3413756.742,13121.35062,25.7,84.7,1,0.003843669,-5.561327926,2012-0294PHL,FALSE,FALSE,FALSE,FALSE
71,PHL,608,WP2,2011,Quiel (Nalgae),2011-0378,2011270N18139,2655000,2014,3370935.635,576605108.8,25.7,84.7,1,171.0519486,5.141967303,2011-0378PHL,FALSE,FALSE,FALSE,TRUE
72,PHL,608,WP2,2004,Nida (Dindo),2004-0218,2004134N07132,1000000,2014,3114596.181,26179685.73,25.7,84.7,1,8.405483155,2.128884249,2004-0218PHL,FALSE,FALSE,FALSE,TRUE
73,PHL,608,WP2,1980,Ditang,1980-0133,1980126N08150,289000,2014,2534470.072,1085476.617,25.7,84.7,1,0.428285435,-0.847965401,1980-0133PHL,FALSE,FALSE,FALSE,FALSE
74,PHL,608,WP2,1989,Hunt (Unsing),1989-0132,1989314N10152,325000,2014,2172391.554,210240657.9,25.7,84.7,1,96.77843641,4.572424205,1989-0132PHL,FALSE,FALSE,FALSE,FALSE
75,PHL,608,WP2,2015,Tropical cyclone Linfa (Egay),2015-0278,2015183N13130,2218000,2014,2155957.354,155710.4841,25.7,84.7,1,0.07222336,-2.62799174,2015-0278PHL,FALSE,FALSE,FALSE,TRUE
76,PHL,608,WP2,2007,Hagibis (Lando),2007-0578,2007323N09128,1000000,2014,1905360.733,1189032.438,25.7,84.7,1,0.62404584,-0.471531453,2007-0578PHL,FALSE,FALSE,TRUE,TRUE
77,PHL,608,WP2,2012,Son Tinh (Ofel),2012-0406,2012296N06135,1339000,2014,1523673.426,4810383.666,25.7,84.7,1,3.157096255,1.149652698,2012-0406PHL,FALSE,FALSE,TRUE,TRUE
78,PHL,608,WP2,1981,Yeyeng,1981-0138,1981317N14153,167000,2014,1333250.839,603736756.5,25.7,84.7,1,452.8305843,6.11551807,1981-0138PHL,FALSE,FALSE,FALSE,FALSE
79,PHL,608,WP2,2015,Mujigae,2015-0490,2015273N12130,1300000,2014,1263635.96,59324.62665,25.7,84.7,1,0.046947561,-3.058724018,2015-0490PHL,FALSE,FALSE,FALSE,FALSE
80,PHL,608,WP2,2013,Rumbia,2013-0258,2013178N09133,1000000,2014,1046897.37,68264331.18,25.7,84.7,1,65.20632598,4.177556489,2013-0258PHL,FALSE,FALSE,FALSE,FALSE
81,PHL,608,WP2,2015,Tropical storm Amang (Mekkhala),2015-0017,2015012N09146,1000000,2014,972027.6618,2596001.641,25.7,84.7,1,2.670707576,0.982343447,2015-0017PHL,FALSE,FALSE,TRUE,TRUE
82,PHL,608,WP2,2015,Noul (Dodong),2015-0176,2015122N07144,348000,2014,338265.6263,7568413.609,25.7,84.7,1,22.3741729,3.107907298,2015-0176PHL,FALSE,FALSE,FALSE,FALSE
83,PHL,608,WP2,1982,Aning,1982-0176,1982325N08176,5000,2014,38312.233,14021784.89,25.7,84.7,1,365.9871479,5.902598218,1982-0176PHL,FALSE,FALSE,FALSE,FALSE
